"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
#2025-03-04#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2025-03-05#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2025-03-06#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2025-03-07#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2025-03-08#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-09#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-10#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2025-03-11#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2025-03-12#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2025-03-13#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2025-03-14#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2025-03-15#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-16#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-17#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2025-03-18#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2025-03-19#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2025-03-20#,"木",,,,"資源","他プラ","不燃",,,,,,,,,,,,,,,"他プラ",,
#2025-03-21#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2025-03-22#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-23#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-24#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2025-03-25#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2025-03-26#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2025-03-27#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2025-03-28#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2025-03-29#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-30#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-31#,"月","可燃","可燃","可燃",,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,
